Code_departement,Code_region,annee,Vols avec armes,Vols violents sans arme,Cambriolages de logement,Destructions et dégradations volontaires
59,32,2024,0.111582,0.795213,6.9675634,9.2219485
60,32,2024,0.0975052,0.4140961,5.1397794,6.6881339
61,28,2024,0.0470769,0.2462483,5.971601,7.6192132
62,32,2024,0.0732784,0.3732406,5.0635243,8.9687327
63,84,2024,0.0526803,0.4364939,7.14209,7.9321478
64,75,2024,0.0428894,0.3416858,4.0995232,6.7164851
65,76,2024,0.0302437,0.2376292,3.1940397,6.9646969
66,76,2024,0.0953416,0.7485334,5.3539352,11.6884803
67,44,2024,0.0743325,0.3465971,4.019739,6.7642613
68,44,2024,0.0429799,0.286533,4.3343734,6.3362855
69,84,2024,0.1430831,1.5078759,8.6117006,8.2202033
70,27,2024,0.0384747,0.128249,3.0977396,6.9852941
71,27,2024,0.0491681,0.169357,4.8367633,5.9511669
72,52,2024,0.0706553,0.5034188,6.7033545,6.8835901
73,84,2024,0.0494062,0.2762257,3.6891892,7.5299581
74,84,2024,0.0906327,0.4178521,5.5963953,7.1941176
75,11,2024,0.1741019,3.5161009,6.6117625,8.4486719
76,28,2024,0.0999837,0.657036,4.9296843,7.8003182
77,11,2024,0.1198018,0.5611406,6.1524009,6.9739789
78,11,2024,0.0802296,0.4834176,6.4251075,6.6237053
79,75,2024,0.0479469,0.2024426,5.4550889,5.9081283000000004
80,32,2024,0.0689606,0.4897974,3.8808495,9.610284
81,76,2024,0.0353385,0.2196038,5.4348858,6.7622827
82,76,2024,0.0150987,0.215156,6.9393805,6.0394679
83,93,2024,0.0802985,0.4908135,5.5265532,9.1414012
84,93,2024,0.1055034,0.5169667,8.0464513,8.7110648
85,52,2024,0.0283149,0.1302483,4.3862296,6.6511596
86,75,2024,0.0661062,0.3670034,6.6015189,6.2823692
87,75,2024,0.0805503,0.2094308,4.7705288,7.4159994
88,44,2024,0.0446055,0.1923613,3.6525117,7.2428213
89,27,2024,0.0509141,0.2276158,5.7351918,7.3106596
90,27,2024,0.0428321,0.3141017,2.6079785,7.3456975
91,11,2024,0.1434454,0.8146187,6.841805,8.1107036
92,11,2024,0.0952997,0.8048876,5.8881161,7.9371872
93,11,2024,0.1956325,2.3904027,7.789794,9.5229601
94,11,2024,0.11694,1.0101928,6.4892946,7.3700398
95,11,2024,0.1794082,0.9717944,6.4292008,8.1426138
971,01,2024,1.3843663,1.4286869,4.8565965,7.9099197
972,02,2024,0.8448309,0.5345979,5.0282549,6.5702913
973,03,2024,2.9266736,1.5361569,10.533864,4.7333051
974,04,2024,0.0601352,0.5809283,2.2256626,6.0294004
976,06,2024,2.4091877,1.9140957,5.9826746,8.7635176
